id,visitor,home,visRuns,visHits,visErrors,homeRuns,homeHits,homeErrors,winTeam,loseTeam
1,usa,mex,13,12,3,11,14,0,usa,mex
2,mex,usa,6,13,0,3,8,0,mex,usa
3,usa,mex,4,9,0,7,8,0,mex,usa
4,can,cam,7,12,0,9,11,0,cam,can
5,cam,can,11,17,1,9,15,0,cam,can
6,can,cam,10,20,1,9,12,1,can,cam
7,mor,nig,4,13,0,1,7,0,mor,nig
8,nig,mor,7,7,1,2,6,0,nig,mor
9,mor,nig,11,14,1,4,6,3,mor,nig
10,ken,saf,19,23,1,9,9,0,ken,saf
11,saf,ken,6,14,1,1,4,0,saf,ken
12,ken,saf,3,10,0,4,12,0,saf,ken
13,spa,ukg,4,8,0,6,6,0,ukg,spa
14,ukg,spa,4,12,1,7,12,2,spa,ukg
15,spa,ukg,6,10,2,8,7,0,ukg,spa
16,neu,ita,8,14,0,1,7,0,neu,ita
17,ita,neu,4,9,0,1,8,0,ita,neu
18,neu,ita,0,5,0,4,9,1,ita,neu
19,spa,eeu,13,18,0,4,9,1,spa,eeu
20,eeu,spa,8,16,0,2,11,0,eeu,spa
21,spa,eeu,3,8,0,2,6,0,spa,eeu
22,ukg,neu,11,16,0,1,8,0,ukg,neu
23,neu,ukg,0,1,0,5,10,1,ukg,neu
24,ukg,neu,8,9,0,1,3,0,ukg,neu
25,eeu,ita,,,,,,,,
26,ita,eeu,,,,,,,,
27,eeu,ita,,,,,,,,
28,mor,egy,,,,,,,,
29,egy,mor,,,,,,,,
30,mor,egy,,,,,,,,
31,nig,ken,,,,,,,,
32,ken,nig,,,,,,,,
33,nig,ken,,,,,,,,
34,egy,saf,,,,,,,,
35,saf,egy,,,,,,,,
36,egy,saf,,,,,,,,
37,usa,car,,,,,,,,
38,car,usa,,,,,,,,
39,usa,car,,,,,,,,
40,mex,can,,,,,,,,
41,can,mex,,,,,,,,
42,mex,can,,,,,,,,
43,car,cam,,,,,,,,
44,cam,car,,,,,,,,
45,car,cam,,,,,,,,
46,can,usa,,,,,,,,
47,usa,can,,,,,,,,
48,can,usa,,,,,,,,
49,cam,mex,,,,,,,,
50,mex,cam,,,,,,,,
51,cam,mex,,,,,,,,
52,ken,mor,,,,,,,,
53,mor,ken,,,,,,,,
54,ken,mor,,,,,,,,
55,saf,nig,,,,,,,,
56,nig,saf,,,,,,,,
57,saf,nig,,,,,,,,
58,neu,spa,,,,,,,,
59,spa,neu,,,,,,,,
60,neu,spa,,,,,,,,
61,ita,ukg,,,,,,,,
62,ukg,ita,,,,,,,,
63,ita,ukg,,,,,,,,
64,eeu,neu,,,,,,,,
65,neu,eeu,,,,,,,,
66,eeu,neu,,,,,,,,
67,ita,spa,,,,,,,,
68,spa,ita,,,,,,,,
69,ita,spa,,,,,,,,
70,ukg,eeu,,,,,,,,
71,eeu,ukg,,,,,,,,
72,ukg,eeu,,,,,,,,
73,egy,ken,,,,,,,,
74,ken,egy,,,,,,,,
75,egy,ken,,,,,,,,
76,saf,mor,,,,,,,,
77,mor,saf,,,,,,,,
78,saf,mor,,,,,,,,
79,nig,egy,,,,,,,,
80,egy,nig,,,,,,,,
81,nig,egy,,,,,,,,
82,car,can,,,,,,,,
83,can,car,,,,,,,,
84,car,can,,,,,,,,
85,cam,usa,,,,,,,,
86,usa,cam,,,,,,,,
87,cam,usa,,,,,,,,
88,mex,car,,,,,,,,
89,car,mex,,,,,,,,
90,mex,car,,,,,,,,
91,bra,col,,,,,,,,
92,col,bra,,,,,,,,
93,bra,col,,,,,,,,
94,arg,ven,,,,,,,,
95,ven,arg,,,,,,,,
96,arg,ven,,,,,,,,
