player_id,first_name,last_name,avg,ab,do,tr,hr,rbi,bb,so,sb,cs,slg,obp
1001,Hank,Aaron,0.322,557,28,4,43,118,68,62,9,4,0.62,0.395
1003,Robbie,Alomar,0.323,558,35,5,18,90,77,68,34,7,0.499,0.405
1004,Cap,Anson,0.361,428,28,8,8,100,40,14,16,10,0.522,0.416
1005,Luis,Aparicio,0.277,604,23,5,6,47,48,38,39,10,0.36,0.329
1006,Luke,Appling,0.33,554,31,7,44,83,90,30,12,8,0.432,0.424
1007,Richie,Ashburn,0.332,546,22,7,3,43,83,38,20,7,0.415,0.422
1008,Earl,Averill,0.334,584,38,12,25,116,73,44,14,7,0.565,0.411
1009,Home Run,Baker,0.322,526,29,11,9,96,42,25,24,15,0.472,0.378
1010,Dave,Bancroft,0.309,512,28,8,2,45,58,28,9,8,0.405,0.381
1011,Ernie,Banks,0.291,592,27,8,41,114,55,74,5,4,0.568,0.351
1012,Jake,Beckley,0.331,502,29,15,6,98,35,22,16,13,0.481,0.387
1013,Cool Papa,Bell,0.332,609,32,18,10,43,59,41,27,9,0.495,0.393
1014,Johnny,Bench,0.282,541,30,2,32,113,68,91,6,3,0.522,0.359
1016,Yogi,Berra,0.295,547,24,4,27,108,57,24,2,2,0.502,0.364
1018,Wade,Boggs,0.354,588,44,5,9,68,103,44,2,3,0.49,0.448
1019,Jim,Bottomley,0.334,537,35,13,19,115,54,42,5,4,0.552,0.398
1020,Lou,Boudreau,0.309,530,37,5,7,74,68,23,4,3,0.437,0.391
1021,Roger,Bresnahan,0.295,351,21,5,2,43,62,27,16,5,0.401,0.411
1022,George,Brett,0.329,544,39,8,23,101,66,41,11,5,0.558,0.399
1023,Lou,Brock,0.303,650,32,9,12,59,51,109,63,21,0.435,0.356
1024,Dan,Brouthers,0.361,449,32,15,7,88,52,12,16,10,0.546,0.434
1027,Willard,Brown,0.358,506,37,14,21,98,35,29,25,14,0.609,0.399
1029,Jesse,Burkett,0.384,555,22,13,6,73,69,25,32,16,0.503,0.458
1030,Roy,Campanella,0.296,441,21,2,27,96,56,49,3,2,0.538,0.378
1031,Rod,Carew,0.352,565,30,9,8,73,64,55,33,13,0.48,0.416
1032,Max,Carey,0.312,582,30,11,6,58,67,34,46,9,0.431,0.388
1034,Gary,Carter,0.28,539,25,2,28,95,61,68,2,2,0.489,0.354
1035,Orlando,Cepeda,0.311,579,31,2,33,111,43,84,11,5,0.545,0.365
1036,Frank,Chance,0.306,412,20,8,2,59,55,22,40,14,0.409,0.403
1037,Oscar,Charleston,0.391,558,45,14,32,125,89,94,50,17,0.693,0.478
1039,Fred,Clarke,0.34,492,25,14,5,64,48,33,32,17,0.48,0.411
